"seq","content"
"32","조용한 음악을 틀어두고 집중하고 있습니다."
"33","이번 주에는 10월 7일 일정이 가장 바쁠 것 같습니다."
"34","오늘은 382번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"35","오늘은 649번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"36","11월 28일 9시 38분에 알림을 맞춰 두었습니다."
"37","따뜻한 차 한 잔을 마시며 잠깐 쉬고 있습니다."
"38","점심으로 간단한 샌드위치를 먹었습니다."
"39","회의 전까지 자료를 16장 정리해 두려고 합니다."
"40","체크리스트에 항목 24박스를 추가해 진행 상황을 관리합니다."
"41","필요한 재료는 총 26잔 정도 준비하면 충분합니다."
"42","272번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"43","약속 시간은 9시 55분으로 잡아 두었습니다."
"44","이번 주에는 7월 5일 일정이 가장 바쁠 것 같습니다."
"45","필요한 재료는 총 29개 정도 준비하면 충분합니다."
"46","회의 전까지 자료를 10봉지 정리해 두려고 합니다."
"47","약속 시간은 11시 10분으로 잡아 두었습니다."
"48","현재 시각은 14시 42분이고 작업을 이어가고 있습니다."
"49","약속 시간은 17시 55분으로 잡아 두었습니다."
"50","오늘은 12월 20일이라 일정표를 다시 확인했습니다."
"51","이번 주에는 4월 11일 일정이 가장 바쁠 것 같습니다."
"52","이번 주에는 4월 24일 일정이 가장 바쁠 것 같습니다."
"53","메모를 남겨두니 해야 할 일을 잊지 않게 됩니다."
"54","오늘은 404번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"55","약속 시간은 19시 18분으로 잡아 두었습니다."
"56","하늘이 맑아서 사진을 한 장 찍고 싶어졌습니다."
"57","체크리스트에 항목 25분를 추가해 진행 상황을 관리합니다."
"58","오늘은 1월 10일이라 일정표를 다시 확인했습니다."
"59","오늘은 7월 4일이라 일정표를 다시 확인했습니다."
"60","필요한 재료는 총 12회 정도 준비하면 충분합니다."
"61","한 페이지라도 꾸준히 읽는 습관을 만들고 있습니다."
"62","약속 시간은 9시 44분으로 잡아 두었습니다."
"63","필요한 재료는 총 7박스 정도 준비하면 충분합니다."
"64","필요한 재료는 총 30회 정도 준비하면 충분합니다."
"65","회의 전까지 자료를 15봉지 정리해 두려고 합니다."
"66","필요한 재료는 총 15봉지 정도 준비하면 충분합니다."
"67","이번 주에는 3월 22일 일정이 가장 바쁠 것 같습니다."
"68","10월 9일 8시 5분에 알림을 맞춰 두었습니다."
"69","회의 전까지 자료를 6회 정리해 두려고 합니다."
"70","8월 21일 15시 10분에 알림을 맞춰 두었습니다."
"71","회의 전까지 자료를 29개 정리해 두려고 합니다."
"72","필요한 재료는 총 28박스 정도 준비하면 충분합니다."
"73","약속 시간은 22시 31분으로 잡아 두었습니다."
"74","오늘은 6월 6일이라 일정표를 다시 확인했습니다."
"75","체크리스트에 항목 28권를 추가해 진행 상황을 관리합니다."
"76","약속 시간은 22시 59분으로 잡아 두었습니다."
"77","체크리스트에 항목 22개를 추가해 진행 상황을 관리합니다."
"78","필요한 재료는 총 9분 정도 준비하면 충분합니다."
"79","약속 시간은 17시 51분으로 잡아 두었습니다."
"80","체크리스트에 항목 28봉지를 추가해 진행 상황을 관리합니다."
"81","이번 주에는 1월 17일 일정이 가장 바쁠 것 같습니다."
"82","오늘은 5월 12일이라 일정표를 다시 확인했습니다."
"83","약속 시간은 17시 5분으로 잡아 두었습니다."
"84","3월 5일 21시 33분에 알림을 맞춰 두었습니다."
"85","8월 25일 17시 54분에 알림을 맞춰 두었습니다."
"86","현재 시각은 6시 21분이고 작업을 이어가고 있습니다."
"87","이번 주에는 10월 17일 일정이 가장 바쁠 것 같습니다."
"88","오늘 읽은 문장에서 좋은 표현을 하나 발견했습니다."
"89","이번 주에는 5월 27일 일정이 가장 바쁠 것 같습니다."
"90","필요한 재료는 총 8권 정도 준비하면 충분합니다."
"91","체크리스트에 항목 27개를 추가해 진행 상황을 관리합니다."
"92","오늘은 3월 5일이라 일정표를 다시 확인했습니다."
"93","이번 주에는 5월 12일 일정이 가장 바쁠 것 같습니다."
"94","현재 시각은 20시 8분이고 작업을 이어가고 있습니다."
"95","이번 주에는 10월 15일 일정이 가장 바쁠 것 같습니다."
"96","12월 16일 17시 36분에 알림을 맞춰 두었습니다."
"97","7월 28일 6시 47분에 알림을 맞춰 두었습니다."
"98","약속 시간은 9시 28분으로 잡아 두었습니다."
"99","회의 전까지 자료를 10개 정리해 두려고 합니다."
"100","2월 10일 14시 36분에 알림을 맞춰 두었습니다."
"101","회의 전까지 자료를 1분 정리해 두려고 합니다."
"102","오늘은 12월 17일이라 일정표를 다시 확인했습니다."
"103","809번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"104","오늘은 538번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"105","이번 주에는 7월 13일 일정이 가장 바쁠 것 같습니다."
"106","필요한 재료는 총 19박스 정도 준비하면 충분합니다."
"107","필요한 재료는 총 4권 정도 준비하면 충분합니다."
"108","회의 전까지 자료를 26봉지 정리해 두려고 합니다."
"109","필요한 재료는 총 24박스 정도 준비하면 충분합니다."
"110","4월 3일 6시 15분에 알림을 맞춰 두었습니다."
"111","이번 주에는 4월 14일 일정이 가장 바쁠 것 같습니다."
"112","868번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"113","오늘은 4월 6일이라 일정표를 다시 확인했습니다."
"114","약속 시간은 10시 17분으로 잡아 두었습니다."
"115","약속 시간은 19시 8분으로 잡아 두었습니다."
"116","이번 주에는 7월 28일 일정이 가장 바쁠 것 같습니다."
"117","약속 시간은 18시 0분으로 잡아 두었습니다."
"118","오늘은 9월 4일이라 일정표를 다시 확인했습니다."
"119","약속 시간은 15시 31분으로 잡아 두었습니다."
"120","오늘은 6번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"121","오늘은 112번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"122","오늘은 813번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"123","약속 시간은 8시 44분으로 잡아 두었습니다."
"124","회의 전까지 자료를 27장 정리해 두려고 합니다."
"125","필요한 재료는 총 4분 정도 준비하면 충분합니다."
"126","5월 19일 19시 17분에 알림을 맞춰 두었습니다."
"127","오늘은 549번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"128","오늘은 633번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"129","오늘은 4월 7일이라 일정표를 다시 확인했습니다."
"130","체크리스트에 항목 4개를 추가해 진행 상황을 관리합니다."
"131","필요한 재료는 총 20권 정도 준비하면 충분합니다."
"132","체크리스트에 항목 14권를 추가해 진행 상황을 관리합니다."
"133","이번 주에는 1월 20일 일정이 가장 바쁠 것 같습니다."
"134","397번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"135","6월 25일 10시 19분에 알림을 맞춰 두었습니다."
"136","회의 전까지 자료를 1장 정리해 두려고 합니다."
"137","631번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"138","오늘은 9월 18일이라 일정표를 다시 확인했습니다."
"139","회의 전까지 자료를 30분 정리해 두려고 합니다."
"140","4월 10일 15시 47분에 알림을 맞춰 두었습니다."
"141","12월 3일 20시 39분에 알림을 맞춰 두었습니다."
"142","이번 주에는 11월 20일 일정이 가장 바쁠 것 같습니다."
"143","체크리스트에 항목 5권를 추가해 진행 상황을 관리합니다."
"144","회의 전까지 자료를 2잔 정리해 두려고 합니다."
"145","현재 시각은 16시 33분이고 작업을 이어가고 있습니다."
"146","체크리스트에 항목 29봉지를 추가해 진행 상황을 관리합니다."
"147","2월 25일 17시 47분에 알림을 맞춰 두었습니다."
"148","오늘은 336번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"149","필요한 재료는 총 6회 정도 준비하면 충분합니다."
"150","3월 28일 20시 8분에 알림을 맞춰 두었습니다."
"151","현재 시각은 22시 55분이고 작업을 이어가고 있습니다."
"152","이번 주에는 6월 17일 일정이 가장 바쁠 것 같습니다."
"153","410번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"154","이번 주에는 11월 14일 일정이 가장 바쁠 것 같습니다."
"155","이번 주에는 7월 15일 일정이 가장 바쁠 것 같습니다."
"156","오늘은 652번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"157","체크리스트에 항목 30회를 추가해 진행 상황을 관리합니다."
"158","약속 시간은 21시 51분으로 잡아 두었습니다."
"159","필요한 재료는 총 23봉지 정도 준비하면 충분합니다."
"160","회의 전까지 자료를 23장 정리해 두려고 합니다."
"161","오늘은 820번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"162","4월 18일 6시 16분에 알림을 맞춰 두었습니다."
"163","필요한 재료는 총 18장 정도 준비하면 충분합니다."
"164","921번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"165","오늘은 351번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"166","회의 전까지 자료를 9잔 정리해 두려고 합니다."
"167","오늘은 6월 27일이라 일정표를 다시 확인했습니다."
"168","오늘은 51번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"169","현재 시각은 16시 36분이고 작업을 이어가고 있습니다."
"170","약속 시간은 21시 1분으로 잡아 두었습니다."
"171","필요한 재료는 총 2봉지 정도 준비하면 충분합니다."
"172","회의 전까지 자료를 27잔 정리해 두려고 합니다."
"173","오늘은 1월 28일이라 일정표를 다시 확인했습니다."
"174","오늘은 35번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"175","오늘은 609번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"176","이번 주에는 5월 22일 일정이 가장 바쁠 것 같습니다."
"177","약속 시간은 21시 35분으로 잡아 두었습니다."
"178","필요한 재료는 총 29권 정도 준비하면 충분합니다."
"179","오늘은 11월 5일이라 일정표를 다시 확인했습니다."
"180","오늘은 8월 4일이라 일정표를 다시 확인했습니다."
"181","필요한 재료는 총 16장 정도 준비하면 충분합니다."
"182","현재 시각은 21시 41분이고 작업을 이어가고 있습니다."
"183","필요한 재료는 총 1권 정도 준비하면 충분합니다."
"184","오늘은 745번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"185","회의 전까지 자료를 1잔 정리해 두려고 합니다."
"186","오늘은 2월 15일이라 일정표를 다시 확인했습니다."
"187","846번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"188","오늘은 12월 24일이라 일정표를 다시 확인했습니다."
"189","필요한 재료는 총 20박스 정도 준비하면 충분합니다."
"190","오늘은 354번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"191","필요한 재료는 총 25잔 정도 준비하면 충분합니다."
"192","8월 1일 6시 50분에 알림을 맞춰 두었습니다."
"193","오늘은 684번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"194","현재 시각은 16시 21분이고 작업을 이어가고 있습니다."
"195","3월 6일 11시 22분에 알림을 맞춰 두었습니다."
"196","이번 주에는 2월 17일 일정이 가장 바쁠 것 같습니다."
"197","이번 주에는 4월 18일 일정이 가장 바쁠 것 같습니다."
"198","현재 시각은 15시 37분이고 작업을 이어가고 있습니다."
"199","회의 전까지 자료를 25권 정리해 두려고 합니다."
"200","체크리스트에 항목 6회를 추가해 진행 상황을 관리합니다."
"201","필요한 재료는 총 24회 정도 준비하면 충분합니다."
"202","필요한 재료는 총 3분 정도 준비하면 충분합니다."
"203","회의 전까지 자료를 13권 정리해 두려고 합니다."
"204","회의 전까지 자료를 15박스 정리해 두려고 합니다."
"205","현재 시각은 18시 42분이고 작업을 이어가고 있습니다."
"206","오늘은 95번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"207","오늘은 12월 1일이라 일정표를 다시 확인했습니다."
"208","오늘은 897번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"209","현재 시각은 16시 26분이고 작업을 이어가고 있습니다."
"210","체크리스트에 항목 20잔를 추가해 진행 상황을 관리합니다."
"211","4월 27일 11시 54분에 알림을 맞춰 두었습니다."
"212","3월 1일 13시 24분에 알림을 맞춰 두었습니다."
"213","체크리스트에 항목 18봉지를 추가해 진행 상황을 관리합니다."
"214","현재 시각은 20시 3분이고 작업을 이어가고 있습니다."
"215","오늘은 100번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"216","체크리스트에 항목 2박스를 추가해 진행 상황을 관리합니다."
"217","체크리스트에 항목 9잔를 추가해 진행 상황을 관리합니다."
"218","체크리스트에 항목 21잔를 추가해 진행 상황을 관리합니다."
"219","616번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"220","체크리스트에 항목 28박스를 추가해 진행 상황을 관리합니다."
"221","회의 전까지 자료를 12권 정리해 두려고 합니다."
"222","약속 시간은 16시 37분으로 잡아 두었습니다."
"223","오늘은 303번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"224","현재 시각은 19시 47분이고 작업을 이어가고 있습니다."
"225","오늘은 379번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"226","체크리스트에 항목 10권를 추가해 진행 상황을 관리합니다."
"227","회의 전까지 자료를 24박스 정리해 두려고 합니다."
"228","체크리스트에 항목 9봉지를 추가해 진행 상황을 관리합니다."
"229","6월 4일 21시 46분에 알림을 맞춰 두었습니다."
"230","현재 시각은 19시 34분이고 작업을 이어가고 있습니다."
"231","체크리스트에 항목 17권를 추가해 진행 상황을 관리합니다."
"232","오늘은 5월 23일이라 일정표를 다시 확인했습니다."
"233","오늘은 2월 21일이라 일정표를 다시 확인했습니다."
"234","이번 주에는 5월 8일 일정이 가장 바쁠 것 같습니다."
"235","현재 시각은 14시 52분이고 작업을 이어가고 있습니다."
"236","오늘은 11월 24일이라 일정표를 다시 확인했습니다."
"237","이번 주에는 9월 25일 일정이 가장 바쁠 것 같습니다."
"238","회의 전까지 자료를 11봉지 정리해 두려고 합니다."
"239","체크리스트에 항목 3권를 추가해 진행 상황을 관리합니다."
"240","이번 주에는 10월 20일 일정이 가장 바쁠 것 같습니다."
"241","162번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"242","842번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"243","약속 시간은 22시 57분으로 잡아 두었습니다."
"244","약속 시간은 21시 59분으로 잡아 두었습니다."
"245","체크리스트에 항목 21장를 추가해 진행 상황을 관리합니다."
"246","회의 전까지 자료를 17봉지 정리해 두려고 합니다."
"247","체크리스트에 항목 29권를 추가해 진행 상황을 관리합니다."
"248","체크리스트에 항목 18권를 추가해 진행 상황을 관리합니다."
"249","체크리스트에 항목 25박스를 추가해 진행 상황을 관리합니다."
"250","회의 전까지 자료를 27박스 정리해 두려고 합니다."
"251","오늘은 184번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"252","이번 주에는 6월 2일 일정이 가장 바쁠 것 같습니다."
"253","회의 전까지 자료를 12봉지 정리해 두려고 합니다."
"254","약속 시간은 21시 11분으로 잡아 두었습니다."
"255","오늘은 4월 21일이라 일정표를 다시 확인했습니다."
"256","548번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"257","777번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"258","이번 주에는 3월 6일 일정이 가장 바쁠 것 같습니다."
"259","9월 27일 6시 6분에 알림을 맞춰 두었습니다."
"260","현재 시각은 6시 24분이고 작업을 이어가고 있습니다."
"261","현재 시각은 10시 20분이고 작업을 이어가고 있습니다."
"262","381번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"263","이번 주에는 8월 26일 일정이 가장 바쁠 것 같습니다."
"264","1월 12일 14시 58분에 알림을 맞춰 두었습니다."
"265","회의 전까지 자료를 27회 정리해 두려고 합니다."
"266","약속 시간은 6시 56분으로 잡아 두었습니다."
"267","오늘은 70번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"268","회의 전까지 자료를 2장 정리해 두려고 합니다."
"269","오늘은 6월 24일이라 일정표를 다시 확인했습니다."
"270","288번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"271","이번 주에는 10월 1일 일정이 가장 바쁠 것 같습니다."
"272","9월 22일 7시 32분에 알림을 맞춰 두었습니다."
"273","회의 전까지 자료를 13잔 정리해 두려고 합니다."
"274","현재 시각은 18시 51분이고 작업을 이어가고 있습니다."
"275","현재 시각은 21시 7분이고 작업을 이어가고 있습니다."
"276","약속 시간은 13시 44분으로 잡아 두었습니다."
"277","672번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"278","회의 전까지 자료를 7권 정리해 두려고 합니다."
"279","현재 시각은 19시 56분이고 작업을 이어가고 있습니다."
"280","오늘은 6월 13일이라 일정표를 다시 확인했습니다."
"281","101번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"282","10월 23일 9시 4분에 알림을 맞춰 두었습니다."
"283","약속 시간은 7시 26분으로 잡아 두었습니다."
"284","체크리스트에 항목 1회를 추가해 진행 상황을 관리합니다."
"285","오늘은 159번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"286","회의 전까지 자료를 1봉지 정리해 두려고 합니다."
"287","약속 시간은 11시 50분으로 잡아 두었습니다."
"288","필요한 재료는 총 28개 정도 준비하면 충분합니다."
"289","필요한 재료는 총 12박스 정도 준비하면 충분합니다."
"290","오늘은 321번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"291","1월 20일 16시 47분에 알림을 맞춰 두었습니다."
"292","체크리스트에 항목 23장를 추가해 진행 상황을 관리합니다."
"293","이번 주에는 12월 20일 일정이 가장 바쁠 것 같습니다."
"294","약속 시간은 16시 18분으로 잡아 두었습니다."
"295","필요한 재료는 총 19개 정도 준비하면 충분합니다."
"296","현재 시각은 8시 54분이고 작업을 이어가고 있습니다."
"297","체크리스트에 항목 24잔를 추가해 진행 상황을 관리합니다."
"298","오늘은 8월 20일이라 일정표를 다시 확인했습니다."
"299","6월 20일 9시 32분에 알림을 맞춰 두었습니다."
"300","현재 시각은 14시 37분이고 작업을 이어가고 있습니다."
"301","오늘은 7월 28일이라 일정표를 다시 확인했습니다."
"302","현재 시각은 21시 5분이고 작업을 이어가고 있습니다."
"303","필요한 재료는 총 17권 정도 준비하면 충분합니다."
"304","오늘은 797번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"305","563번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"306","약속 시간은 10시 52분으로 잡아 두었습니다."
"307","12월 14일 20시 4분에 알림을 맞춰 두었습니다."
"308","오늘은 1월 14일이라 일정표를 다시 확인했습니다."
"309","약속 시간은 15시 13분으로 잡아 두었습니다."
"310","현재 시각은 14시 51분이고 작업을 이어가고 있습니다."
"311","현재 시각은 10시 44분이고 작업을 이어가고 있습니다."
"312","519번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"313","필요한 재료는 총 26장 정도 준비하면 충분합니다."
"314","현재 시각은 16시 31분이고 작업을 이어가고 있습니다."
"315","이번 주에는 9월 9일 일정이 가장 바쁠 것 같습니다."
"316","오늘은 707번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"317","현재 시각은 15시 48분이고 작업을 이어가고 있습니다."
"318","약속 시간은 10시 8분으로 잡아 두었습니다."
"319","30번 버스를 타면 목적지까지 편하게 이동할 수 있습니다."
"320","9월 20일 20시 30분에 알림을 맞춰 두었습니다."
"321","7월 3일 18시 26분에 알림을 맞춰 두었습니다."
"322","3월 6일 20시 1분에 알림을 맞춰 두었습니다."
"323","현재 시각은 17시 18분이고 작업을 이어가고 있습니다."
"324","체크리스트에 항목 14개를 추가해 진행 상황을 관리합니다."
"325","필요한 재료는 총 7개 정도 준비하면 충분합니다."
"326","회의 전까지 자료를 21분 정리해 두려고 합니다."
"327","오늘은 5월 5일이라 일정표를 다시 확인했습니다."
"328","오늘은 2월 22일이라 일정표를 다시 확인했습니다."
"329","오늘은 495번 버스를 이용하고, 도착 후 잠깐 쉬겠습니다."
"330","약속 시간은 11시 11분으로 잡아 두었습니다."
"331","현재 시각은 18시 6분이고 작업을 이어가고 있습니다."
"332","금방 노트 준비했어요."
"333","조용히 체크리스트 시작했어요."
"334","4월 16일 메모 완료."
"335","조용히 창문 완료했어요."
"336","아까 파일 마무리했어요."
"337","아까 책상 시작했어요."
"338","지금 할 일 환기했어요."
"339","12시 34분 알림 설정."
"340","잠깐 파일 확인했어요."
"341","방금 일정 시작했어요."
"342","현재 8시 49분 기록."
"343","19시 2분 알림 설정."
"344","아까 일정 시작했어요."
"345","조용히 물컵 점검했어요."
"346","아까 일정 메모했어요."
"347","가볍게 노트 메모했어요."
"348","조용히 창문 메모했어요."
"349","11월 14일 메모 완료."
"350","지금 식물 기록했어요."
"351","아까 책상 완료했어요."
"352","곧 식물 기록했어요."
"353","잠깐 식물 메모했어요."
"354","아까 창문 점검했어요."
"355","현재 18시 36분 기록."
"356","조용히 일정 환기했어요."
"357","조용히 할 일 메모했어요."
"358","잠깐 할 일 메모했어요."
"359","오늘 창문 기록했어요."
"360","방금 창문 정리했어요."
"361","조용히 창문 기록했어요."
"362","가볍게 일정 완료했어요."
"363","지금 파일 기록했어요."
"364","23시 58분 알림 설정."
"365","금방 체크리스트 확인했어요."
"366","아까 알림 시작했어요."
"367","곧 물컵 준비했어요."
"368","방금 체크리스트 정리했어요."
"369","가볍게 책상 시작했어요."
"370","오늘 물컵 마무리했어요."
"371","오늘 일정 마무리했어요."
"372","가볍게 물컵 시작했어요."
"373","오늘 노트 정리했어요."
"374","아까 일정 환기했어요."
"375","곧 노트 점검했어요."
"376","금방 물컵 기록했어요."
"377","오늘 책상 환기했어요."
"378","611번 버스로 이동."
"379","100번 버스로 이동."
"380","지금 체크리스트 점검했어요."
"381","방금 알림 환기했어요."
"382","준비물 96개 점검."
"383","8월 15일 메모 완료."
"384","곧 할 일 메모했어요."
"385","준비물 22개 점검."
"386","1월 7일 일정 확인."
"387","금방 일정 기록했어요."
"388","6월 9일 일정 확인."
"389","방금 식물 정리했어요."
"390","방금 창문 점검했어요."
"391","12시 0분 알림 설정."
"392","오늘 창문 환기했어요."
"393","금방 책상 준비했어요."
"394","3월 24일 메모 완료."
"395","금방 알림 환기했어요."
"396","방금 일정 확인했어요."
"397","곧 체크리스트 준비했어요."
"398","수량 6개 확인 완료."
"399","금방 물컵 점검했어요."
"400","잠깐 책상 정리했어요."
"401","가볍게 노트 마무리했어요."
"402","가볍게 창문 환기했어요."
"403","방금 알림 마무리했어요."
"404","조용히 식물 점검했어요."
"405","곧 체크리스트 시작했어요."
"406","천천히 체크리스트 확인했어요."
"407","627번 버스 대기 중."
"408","금방 책상 점검했어요."
"409","가볍게 창문 메모했어요."
"410","지금 창문 정리했어요."
"411","지금 책상 준비했어요."
"412","천천히 체크리스트 기록했어요."
"413","지금 알림 메모했어요."
"414","가볍게 책상 준비했어요."
"415","천천히 일정 완료했어요."
"416","가볍게 노트 정리했어요."
"417","금방 파일 확인했어요."
"418","오늘 물컵 시작했어요."
"419","아까 노트 정리했어요."
"420","곧 알림 점검했어요."
"421","아까 파일 준비했어요."
"422","잠깐 창문 시작했어요."
"423","잠깐 파일 정리했어요."
"424","금방 식물 점검했어요."
"425","방금 책상 점검했어요."
"426","아까 할 일 준비했어요."
"427","지금 책상 확인했어요."
"428","아까 물컵 환기했어요."
"429","지금 식물 환기했어요."
"430","곧 알림 확인했어요."
"431","방금 창문 기록했어요."
"432","방금 파일 점검했어요."
"433","방금 책상 정리했어요."
"434","가볍게 할 일 준비했어요."
"435","금방 파일 메모했어요."
"436","준비물 35개 점검."
"437","지금 식물 시작했어요."
"438","가볍게 물컵 정리했어요."
"439","방금 노트 정리했어요."
"440","11월 23일 일정 확인."
"441","천천히 체크리스트 시작했어요."
"442","조용히 할 일 점검했어요."
"443","지금 책상 기록했어요."
"444","금방 물컵 시작했어요."
"445","8월 4일 일정 확인."
"446","준비물 80개 점검."
"447","362번 버스로 이동."
"448","조용히 알림 마무리했어요."
"449","방금 일정 완료했어요."
"450","아까 체크리스트 환기했어요."
"451","7월 12일 일정 확인."
"452","오늘 파일 점검했어요."
"453","지금 일정 준비했어요."
"454","가볍게 체크리스트 시작했어요."
"455","461번 버스 대기 중."
"456","아까 알림 확인했어요."
"457","곧 창문 기록했어요."
"458","곧 물컵 정리했어요."
"459","준비물 83개 점검."
"460","오늘 창문 마무리했어요."
"461","준비물 21개 점검."
"462","잠깐 물컵 완료했어요."
"463","천천히 창문 메모했어요."
"464","금방 노트 메모했어요."
"465","조용히 체크리스트 정리했어요."
"466","아까 책상 마무리했어요."
"467","아까 식물 마무리했어요."
"468","방금 알림 시작했어요."
"469","아까 일정 마무리했어요."
"470","아까 할 일 환기했어요."
"471","곧 파일 환기했어요."
"472","조용히 알림 환기했어요."
"473","잠깐 일정 시작했어요."
"474","714번 버스로 이동."
"475","금방 알림 준비했어요."
"476","조용히 식물 기록했어요."
"477","방금 알림 메모했어요."
"478","아까 체크리스트 시작했어요."
"479","곧 알림 마무리했어요."
"480","지금 할 일 시작했어요."
"481","23시 30분 알림 설정."
"482","아까 노트 완료했어요."
"483","가볍게 할 일 시작했어요."
"484","오늘 식물 확인했어요."
"485","곧 파일 시작했어요."
"486","가볍게 식물 메모했어요."
"487","현재 22시 47분 기록."
"488","8월 19일 일정 확인."
"489","준비물 41개 점검."
"490","오늘 체크리스트 메모했어요."
"491","지금 책상 완료했어요."
"492","791번 버스로 이동."
"493","조용히 파일 점검했어요."
"494","오늘 일정 시작했어요."
"495","아까 일정 정리했어요."
"496","가볍게 노트 준비했어요."
"497","오늘 할 일 마무리했어요."
"498","조용히 책상 정리했어요."
"499","오늘 체크리스트 완료했어요."
"500","금방 파일 점검했어요."
"501","천천히 일정 기록했어요."
"502","429번 버스 대기 중."
"503","713번 버스 대기 중."
"504","조용히 알림 메모했어요."
"505","금방 물컵 확인했어요."
"506","방금 노트 기록했어요."
